critical_distractor,condition,critical_target,target_sentence,sentence_number,alt_sentence,pair_distractor,pair_correct,sentence_block.thisRepN,sentence_block.thisTrialN,sentence_block.thisN,sentence_block.thisIndex,sentence_trial.thisRepN,sentence_trial.thisTrialN,sentence_trial.thisN,sentence_trial.thisIndex,resp,resp.RT,resp.acc,block.acc,block.RT,participant,version,exp_name,frameRate,session,date,session_start,
置,3,治,"这种 | 人 | 用 | 这种 | 方法 | 治, | 可谓 | 是 | 以毒攻毒.",1,"ＸＸ | 峙 | 肩 | 签订 | 温馨 | 置, | 卑鄙 | 韦 | 无地自容.",ＸＸ,这种,0,0,0,0,0,0,0,0,1,895.8,1,,,917,1.0.0,untitled,59.6530871151,001,2016-10-25,23:49:15,
置,3,治,"这种 | 人 | 用 | 这种 | 方法 | 治, | 可谓 | 是 | 以毒攻毒.",1,"ＸＸ | 峙 | 肩 | 签订 | 温馨 | 置, | 卑鄙 | 韦 | 无地自容.",峙,人,0,0,0,0,0,1,1,1,0,355.6,1,,,917,1.0.0,untitled,59.6530871151,001,2016-10-25,23:49:15,
置,3,治,"这种 | 人 | 用 | 这种 | 方法 | 治, | 可谓 | 是 | 以毒攻毒.",1,"ＸＸ | 峙 | 肩 | 签订 | 温馨 | 置, | 卑鄙 | 韦 | 无地自容.",肩,用,0,0,0,0,0,2,2,2,1,282.9,1,,,917,1.0.0,untitled,59.6530871151,001,2016-10-25,23:49:15,
置,3,治,"这种 | 人 | 用 | 这种 | 方法 | 治, | 可谓 | 是 | 以毒攻毒.",1,"ＸＸ | 峙 | 肩 | 签订 | 温馨 | 置, | 卑鄙 | 韦 | 无地自容.",签订,这种,0,0,0,0,0,3,3,3,1,286.9,1,,,917,1.0.0,untitled,59.6530871151,001,2016-10-25,23:49:15,
置,3,治,"这种 | 人 | 用 | 这种 | 方法 | 治, | 可谓 | 是 | 以毒攻毒.",1,"ＸＸ | 峙 | 肩 | 签订 | 温馨 | 置, | 卑鄙 | 韦 | 无地自容.",温馨,方法,0,0,0,0,0,4,4,4,0,336.1,1,,,917,1.0.0,untitled,59.6530871151,001,2016-10-25,23:49:15,
置,3,治,"这种 | 人 | 用 | 这种 | 方法 | 治, | 可谓 | 是 | 以毒攻毒.",1,"ＸＸ | 峙 | 肩 | 签订 | 温馨 | 置, | 卑鄙 | 韦 | 无地自容.","置,","治,",0,0,0,0,0,5,5,5,0,318.2,1,,,917,1.0.0,untitled,59.6530871151,001,2016-10-25,23:49:15,
置,3,治,"这种 | 人 | 用 | 这种 | 方法 | 治, | 可谓 | 是 | 以毒攻毒.",1,"ＸＸ | 峙 | 肩 | 签订 | 温馨 | 置, | 卑鄙 | 韦 | 无地自容.",卑鄙,可谓,0,0,0,0,0,6,6,6,1,273.1,1,,,917,1.0.0,untitled,59.6530871151,001,2016-10-25,23:49:15,
置,3,治,"这种 | 人 | 用 | 这种 | 方法 | 治, | 可谓 | 是 | 以毒攻毒.",1,"ＸＸ | 峙 | 肩 | 签订 | 温馨 | 置, | 卑鄙 | 韦 | 无地自容.",韦,是,0,0,0,0,0,7,7,7,1,313.9,1,,,917,1.0.0,untitled,59.6530871151,001,2016-10-25,23:49:15,
置,3,治,"这种 | 人 | 用 | 这种 | 方法 | 治, | 可谓 | 是 | 以毒攻毒.",1,"ＸＸ | 峙 | 肩 | 签订 | 温馨 | 置, | 卑鄙 | 韦 | 无地自容.",无地自容.,以毒攻毒.,0,0,0,0,0,8,8,8,0,325.6,1,,,917,1.0.0,untitled,59.6530871151,001,2016-10-25,23:49:15,
置,3,治,"这种 | 人 | 用 | 这种 | 方法 | 治, | 可谓 | 是 | 以毒攻毒.",1,"ＸＸ | 峙 | 肩 | 签订 | 温馨 | 置, | 卑鄙 | 韦 | 无地自容.",,,0,0,0,0,,,,,,,,1,5665.2,917,1.0.0,untitled,59.6530871151,001,2016-10-25,23:49:15,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,Ｘ,说,0,1,1,1,0,0,0,0,0,369.8,1,,,917,1.0.0,untitled,59.6530871151,001,2016-10-25,23:49:15,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,镑,是,0,1,1,1,0,1,1,1,1,245.8,1,,,917,1.0.0,untitled,59.6530871151,001,2016-10-25,23:49:15,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,动,一,0,1,1,1,0,2,2,2,0,448.3,1,,,917,1.0.0,untitled,59.6530871151,001,2016-10-25,23:49:15,
